,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
135,154,RB53,156.3,,Nyheim Hines,BUF,6,00-0034367,116.76900050774216,RB,88.13559999167919,28.633400516062977,207.0
76,87,QB10,88.3,,Jared Goff,DET,5,00-0033106,250.38960010424256,QB,222.3416029421985,28.047997162044055,208.0
104,119,RB43,122.2,,Peyton Barber,,,00-0032741,115.4523333230118,RB,88.13559999167919,27.316733331332614,209.0
497,818,TE139,702.0,,Anthony Firkser,NE,10,00-0033455,43.81500048525631,TE,16.59899981290102,27.216000672355293,210.0
89,103,WR42,107.5,,Dante Pettis,CHI,6,00-0034860,44.203200253844265,WR,16.998800196647643,27.204400057196622,211.0
475,745,TE123,621.0,,Logan Thomas,WAS,10,00-0031260,43.49019977241755,TE,16.59899981290102,26.891199959516527,212.0
411,598,WR191,452.0,,Javon Wims,,,00-0034426,43.764000561535354,WR,16.998800196647643,26.76520036488771,213.0
433,659,WR207,527.0,,Damion Ratley,,,00-0034273,43.75699978932738,WR,16.998800196647643,26.758199592679738,214.0
124,141,QB18,146.2,,Kirk Cousins,MIN,12,00-0029604,248.73840117365123,QB,222.3416029421985,26.39679823145272,215.0
243,281,TE31,439.5,,Ian Thomas,CAR,7,00-0034365,41.938001029491424,TE,16.59899981290102,25.339001216590404,216.0
521,910,WR294,802.0,,Marvin Hall,,,00-0033094,41.985999497920275,WR,16.998800196647643,24.987199301272632,217.0
169,193,WR64,250.2,,Marquise Goodwin,CLE,7,00-0030068,41.494800845831634,WR,16.998800196647643,24.49600064918399,218.0
303,369,K36,262.0,,Cody Parkey,,,00-0030850,23.743999997377394,K,0.0,23.743999997377394,219.0
360,489,TE69,370.0,,Rhett Ellison,,,00-0029587,40.14599992672602,TE,16.59899981290102,23.547000113825,220.0
434,661,WR208,529.0,,Justin Hardy,,,00-0031570,40.17200088396669,WR,16.998800196647643,23.173200687319046,221.0
359,488,WR163,511.5,,Tim Patrick,DEN,10,00-0033375,39.796999847590925,WR,16.998800196647643,22.798199650943282,222.0
192,218,DST18,234.4,,Green Bay Packers,DST,11,00-000016,117.15399987272919,DST,94.49366665760677,22.66033321512242,223.0
